drone_id,package_weight,package_length,package_width,package_height,package_destination_city,package_destination_country,package_origin_country,package_delivery_date,package_value,package_insurance,drone_cost,drone_manufacture,drone_model
39,365.54,59,99.81,12.18,Ballyboden,Ireland,Ireland,11/18/2016,Euro,TRUE,3219,UDI,DJI Mavic Pro
40,426.98,9.67,48.29,17.62,Ballyboden,Ireland,Ireland,9/19/2015,Euro,FALSE,3671,Hubsan,Parrot Bebop 2
41,237.34,24.76,79.39,73.57,Bailieborough,Ireland,Ireland,05-06-2015,Euro,TRUE,1663,Parrot,DJI Mavic Pro
42,161.19,38.85,54.98,85.59,Gorey,Ireland,Ireland,6/19/2014,Euro,FALSE,7300,Potensic,Yuneec Typhoon H Pro
43,465.19,80.41,74.96,41.23,Ballivor,Ireland,Ireland,6/19/2022,Euro,TRUE,9952,UDI,DJI Mavic Pro
44,151.7,2.34,18.66,46.48,Donegal,Ireland,Ireland,6/18/2022,Euro,FALSE,3598,Autel Robotics,DJI Mavic Pro
45,124.7,6.22,16.21,29.9,Rathnew,Ireland,Ireland,5/25/2019,Euro,FALSE,6031,Autel Robotics,Yuneec Typhoon H Pro
46,49.87,45.5,30.16,39.42,Donnycarney,Ireland,Ireland,03-02-2019,Euro,FALSE,9031,Parrot,DJI Phantom 4
47,14.68,18.4,12.52,87.54,Ballisodare,Ireland,Ireland,5/25/2021,Euro,FALSE,224,DJI,DJI Mavic Pro
48,389.12,46.39,65.27,84.28,Balally,Ireland,Ireland,5/15/2021,Euro,FALSE,6142,DJI,Parrot Bebop 2
49,42.85,8.38,9.77,83.32,Cloyne,Ireland,Ireland,08-03-2022,Euro,FALSE,2478,UDI,Parrot Bebop 2
50,464.87,69.24,95.46,27.33,Crumlin,Ireland,Ireland,11/20/2017,Euro,TRUE,8364,Autel Robotics,DJI Inspire 2
51,360.11,79.65,41.92,96.73,Beaumont,Ireland,Ireland,7/26/2016,Euro,FALSE,1388,DJI,Parrot Bebop 2
52,188.56,84.47,12.5,50.11,Kill,Ireland,Ireland,5/25/2012,Euro,TRUE,3447,Syma,DJI Phantom 4
53,212.56,33.27,46.87,43.54,Kingscourt,Ireland,Ireland,3/18/2021,Euro,TRUE,437,Holy Stone,Parrot Bebop 2
54,211.32,42.06,40.81,84.55,Ballyboden,Ireland,Ireland,04-08-2019,Euro,TRUE,2694,Autel Robotics,Yuneec Typhoon H Pro
55,191.86,74.18,71.36,98.53,Rathnew,Ireland,Ireland,11-12-2016,Euro,FALSE,5447,Potensic,DJI Inspire 2
56,234.59,11.5,4.11,61.01,Balrothery,Ireland,Ireland,11/20/2016,Euro,FALSE,4861,Holy Stone,DJI Inspire 2
57,208.81,7.41,18.69,73.74,Lusk,Ireland,Ireland,4/14/2017,Euro,FALSE,152,DJI,Yuneec Typhoon H Pro
58,96.4,48.78,85.97,93.91,Piltown,Ireland,Ireland,11/16/2018,Euro,FALSE,2259,Potensic,DJI Phantom 4
59,332.54,91.24,37.06,46.41,Gweedore,Ireland,Ireland,9/18/2012,Euro,TRUE,1461,Hubsan,DJI Inspire 2
60,332.21,92.69,47.49,29.12,Sutton,Ireland,Ireland,3/14/2020,Euro,TRUE,7090,Holy Stone,Yuneec Typhoon H Pro
61,87.64,23.64,17.21,60.93,Farranacoush,Ireland,Ireland,6/18/2020,Euro,FALSE,6171,Holy Stone,Parrot Bebop 2
62,496.4,21.87,60.97,36.52,Foxrock,Ireland,Ireland,6/30/2017,Euro,FALSE,2007,Syma,DJI Phantom 4
63,205.4,92.55,58.36,73.7,Killorglin,Ireland,Ireland,8/16/2012,Euro,TRUE,9455,Potensic,DJI Mavic Pro
64,403.54,35.17,3.73,59.14,Ballinteer,Ireland,Ireland,2/13/2018,Euro,TRUE,1715,JJRC,DJI Inspire 2
65,161.79,12.33,53.4,38.32,Navan,Ireland,Ireland,10-01-2019,Euro,FALSE,9260,DJI,DJI Inspire 2
66,202,12.38,90.89,22.87,Annacotty,Ireland,Ireland,11/24/2022,Euro,FALSE,3477,Yuneec,DJI Inspire 2
67,140.67,45.05,22.11,72.07,Killorglin,Ireland,Ireland,07-06-2013,Euro,FALSE,370,DJI,DJI Mavic Pro
68,448.43,11.72,14.17,12.76,Bundoran,Ireland,Ireland,3/17/2016,Euro,TRUE,320,Syma,DJI Inspire 2
69,474.11,91.93,53.57,42.71,Athy,Ireland,Ireland,3/17/2017,Euro,TRUE,7466,JJRC,DJI Phantom 4
70,97.06,87.81,85.76,66.57,Dungarvan,Ireland,Ireland,08-06-2012,Euro,TRUE,9901,Parrot,Yuneec Typhoon H Pro
71,326.34,11.1,33.06,11.9,Nenagh,Ireland,Ireland,3/26/2013,Euro,FALSE,1381,DJI,Parrot Bebop 2
72,216.73,62.58,69.95,48.06,Ashford,Ireland,Ireland,7/17/2018,Euro,FALSE,1930,DJI,DJI Mavic Pro
73,34.65,66.88,15.06,56.39,Milltown,Ireland,Ireland,7/29/2016,Euro,TRUE,4645,Yuneec,Parrot Bebop 2
74,387.95,14.58,19.4,83.31,Greenhills,Ireland,Ireland,07-11-2021,Euro,TRUE,9696,Autel Robotics,DJI Phantom 4
75,348.69,86.07,64.62,55.58,Edgeworthstown,Ireland,Ireland,3/18/2020,Euro,TRUE,758,Autel Robotics,DJI Mavic Pro
76,65.97,67.46,41.54,95.77,Confey,Ireland,Ireland,03-11-2013,Euro,FALSE,1491,Hubsan,Yuneec Typhoon H Pro
77,385.6,41.34,4.38,63.27,Gort,Ireland,Ireland,8/17/2014,Euro,FALSE,225,Hubsan,Parrot Bebop 2
78,357.19,60.89,56.9,17.05,Dalkey,Ireland,Ireland,07-08-2015,Euro,TRUE,749,JJRC,DJI Phantom 4
79,24.17,65.47,96.89,82.77,Kinsale,Ireland,Ireland,3/16/2020,Euro,TRUE,1713,DJI,DJI Phantom 4
80,97.66,96.11,62.82,43.67,Clones,Ireland,Ireland,6/24/2021,Euro,FALSE,5208,Yuneec,DJI Phantom 4
81,84.38,9.46,34.31,85.29,Dublin,Ireland,Ireland,8/27/2013,Euro,FALSE,887,Yuneec,DJI Inspire 2
82,353.78,82.58,41.73,99.06,Stradbally,Ireland,Ireland,5/18/2022,Euro,FALSE,2385,Potensic,Parrot Bebop 2
83,167.52,83.14,49.77,29.95,Dundrum,Ireland,Ireland,8/14/2014,Euro,TRUE,263,Potensic,DJI Phantom 4
84,81.03,82.88,14.72,96.54,Ballylinan,Ireland,Ireland,3/21/2021,Euro,TRUE,9272,Hubsan,Yuneec Typhoon H Pro
85,46.67,73.44,7.67,22.21,Moycullen,Ireland,Ireland,1/20/2012,Euro,FALSE,1933,UDI,DJI Phantom 4
86,25.35,33.27,11.18,89.82,Bayside,Ireland,Ireland,8/29/2019,Euro,FALSE,4438,Hubsan,Yuneec Typhoon H Pro
87,132.16,38.26,57.44,45.75,Fairview,Ireland,Ireland,4/26/2015,Euro,FALSE,8915,JJRC,Parrot Bebop 2
88,448.38,53.47,50.71,29.93,Trá Mhór,Ireland,Ireland,2/28/2014,Euro,TRUE,9554,Hubsan,Parrot Bebop 2
89,204.42,52.34,69.57,66.92,Donegal,Ireland,Ireland,10/19/2015,Euro,FALSE,1556,DJI,DJI Inspire 2
90,20.67,80.2,67.86,36.1,Watergrasshill,Ireland,Ireland,08-08-2017,Euro,FALSE,1435,Hubsan,DJI Inspire 2
91,87.79,73.57,89.1,20.39,Dundrum,Ireland,Ireland,4/18/2018,Euro,FALSE,816,Syma,Parrot Bebop 2
92,110.4,32.73,51.05,69.76,Ballyboden,Ireland,Ireland,8/18/2015,Euro,TRUE,2954,Potensic,DJI Phantom 4
93,105.67,52.45,84.94,64.23,Arklow,Ireland,Ireland,03-05-2019,Euro,FALSE,3478,Yuneec,Parrot Bebop 2
94,13.39,32.53,79.59,34.16,Bailieborough,Ireland,Ireland,01-03-2018,Euro,TRUE,1598,Holy Stone,DJI Inspire 2
95,387.71,23.98,20.29,49.55,Kiltamagh,Ireland,Ireland,12-12-2022,Euro,TRUE,5974,Yuneec,DJI Mavic Pro
96,385.99,92.46,20.88,8.62,Ballyboden,Ireland,Ireland,9/15/2012,Euro,FALSE,5461,Autel Robotics,DJI Inspire 2
97,85.55,39.28,87.02,75.53,Oranmore,Ireland,Ireland,09-01-2014,Euro,FALSE,2721,Holy Stone,Yuneec Typhoon H Pro
98,478.31,16.78,58.36,39.67,Dundrum,Ireland,Ireland,10/13/2016,Euro,FALSE,2329,Parrot,Parrot Bebop 2
99,245.85,79.87,73.42,56.76,Gweedore,Ireland,Ireland,8/17/2019,Euro,FALSE,2758,Hubsan,DJI Mavic Pro
100,153.93,5.55,86.19,80.06,Dromiskin,Ireland,Ireland,05-03-2020,Euro,FALSE,1832,JJRC,DJI Phantom 4
101,146.48,93.1,73.63,99.12,Castlepollard,Ireland,Ireland,10-10-2014,Euro,TRUE,1764,JJRC,Yuneec Typhoon H Pro
102,90.73,27.14,61.2,38.85,Listowel,Ireland,Ireland,3/18/2020,Euro,TRUE,8014,DJI,DJI Inspire 2
103,374.08,31.88,46.93,8.99,Nenagh,Ireland,Ireland,12-12-2019,Euro,TRUE,8993,Syma,DJI Phantom 4
104,212.52,3.42,77.13,25,Castlerea,Ireland,Ireland,02-04-2018,Euro,FALSE,3950,Potensic,DJI Mavic Pro
105,248.79,72.36,73.95,12.57,Shankill,Ireland,Ireland,02-04-2016,Euro,FALSE,8557,JJRC,Yuneec Typhoon H Pro
106,331.67,63.08,99.95,96.42,Eadestown,Ireland,Ireland,5/31/2019,Euro,FALSE,6456,Holy Stone,DJI Inspire 2
107,385.29,2.7,54.34,74.89,Kilmacanoge,Ireland,Ireland,8/22/2021,Euro,TRUE,3118,Autel Robotics,Parrot Bebop 2
108,176.87,85.17,98.24,6.18,Gweedore,Ireland,Ireland,05-02-2019,Euro,TRUE,5245,Holy Stone,Yuneec Typhoon H Pro
109,191,44.09,8.49,12.92,Eadestown,Ireland,Ireland,02-09-2016,Euro,FALSE,6068,Yuneec,DJI Phantom 4
110,348.83,20.65,31.84,27.4,Kinsale,Ireland,Ireland,08-05-2022,Euro,TRUE,3270,Syma,Parrot Bebop 2
111,192.06,18.72,3.01,40.98,Bearna,Ireland,Ireland,1/31/2012,Euro,TRUE,9124,Potensic,Yuneec Typhoon H Pro
112,84.79,72.48,5.59,54.28,Castlerea,Ireland,Ireland,12/28/2013,Euro,FALSE,6613,Syma,DJI Mavic Pro
113,244.48,30.39,24.94,42.67,Macroom,Ireland,Ireland,9/14/2012,Euro,FALSE,4336,DJI,DJI Phantom 4
114,164.47,11.21,29.22,66.8,Youghal,Ireland,Ireland,12/31/2018,Euro,TRUE,2582,UDI,Parrot Bebop 2
115,104.41,51.32,67.33,36.41,Askeaton,Ireland,Ireland,02-11-2016,Euro,TRUE,5492,JJRC,Yuneec Typhoon H Pro
116,305.95,64.49,34.4,79.75,Aghada,Ireland,Ireland,06-11-2015,Euro,TRUE,3664,UDI,DJI Mavic Pro
117,140.85,10.93,37.83,34.44,Gorey,Ireland,Ireland,11/29/2017,Euro,TRUE,9494,Autel Robotics,DJI Inspire 2
118,346.79,6.03,79.9,4.91,Charlesland,Ireland,Ireland,10/29/2013,Euro,FALSE,5306,Syma,DJI Inspire 2
119,399.92,95.28,15.32,39.86,Bailieborough,Ireland,Ireland,10-03-2019,Euro,FALSE,4603,Potensic,DJI Mavic Pro
120,12.01,20.21,36.77,1.58,Blarney,Ireland,Ireland,10-01-2013,Euro,FALSE,8114,Hubsan,DJI Phantom 4
121,433.05,74.37,59.72,45.54,Malahide,Ireland,Ireland,11-06-2013,Euro,TRUE,825,Yuneec,DJI Mavic Pro
122,222.91,95.45,87.15,91.27,Askeaton,Ireland,Ireland,11-04-2012,Euro,TRUE,6674,Syma,DJI Phantom 4
123,407.83,45.84,36.32,32.34,Cloyne,Ireland,Ireland,1/26/2018,Euro,TRUE,4442,Potensic,Yuneec Typhoon H Pro
124,143.48,91.81,84.51,20.73,Longwood,Ireland,Ireland,9/21/2018,Euro,FALSE,8750,Syma,DJI Mavic Pro
125,433.29,95.84,2.17,46.1,Youghal,Ireland,Ireland,01-01-2017,Euro,FALSE,5317,UDI,DJI Mavic Pro
126,481.15,7.88,97.59,50.01,Killorglin,Ireland,Ireland,3/15/2022,Euro,FALSE,6272,Holy Stone,DJI Mavic Pro
127,279.25,66.12,64.71,16.08,Donabate,Ireland,Ireland,2/21/2018,Euro,FALSE,498,DJI,Parrot Bebop 2
128,105.31,89.75,25.97,39.53,Shankill,Ireland,Ireland,11/19/2013,Euro,TRUE,5964,Parrot,DJI Mavic Pro
129,209.33,90.11,87.99,72.01,Kilcullen,Ireland,Ireland,10-07-2019,Euro,TRUE,2219,JJRC,Yuneec Typhoon H Pro
130,221.09,93.89,37.38,39.23,Confey,Ireland,Ireland,12-03-2018,Euro,FALSE,656,Holy Stone,DJI Mavic Pro
131,465.47,32.94,89.5,50.69,Balally,Ireland,Ireland,9/22/2017,Euro,TRUE,2628,Potensic,DJI Inspire 2
132,271.84,11.54,22.33,61.01,Kinlough,Ireland,Ireland,10-10-2019,Euro,FALSE,7005,Holy Stone,DJI Inspire 2
133,438.01,9.77,84.86,54.6,Carrigaline,Ireland,Ireland,04-09-2015,Euro,TRUE,4923,Autel Robotics,DJI Inspire 2
134,136.9,80.96,82.48,9.14,Ballinteer,Ireland,Ireland,1/25/2019,Euro,TRUE,1930,Yuneec,DJI Inspire 2
135,225.92,36.67,24.34,61.08,Tralee,Ireland,Ireland,07-09-2015,Euro,FALSE,3413,Parrot,DJI Mavic Pro
136,205.58,54.51,6.02,80.54,Raphoe,Ireland,Ireland,4/27/2015,Euro,FALSE,676,Yuneec,DJI Inspire 2
137,203.52,5.25,91.65,43.5,Cabinteely,Ireland,Ireland,2/21/2014,Euro,FALSE,3570,Parrot,DJI Inspire 2
138,24.5,60.3,74.78,24.72,Newmarket on Fergus,Ireland,Ireland,3/23/2020,Euro,FALSE,6570,Parrot,DJI Mavic Pro
139,31.1,69.5,39.22,66.79,Dundrum,Ireland,Ireland,07-07-2022,Euro,FALSE,171,DJI,DJI Inspire 2
140,483.77,15.31,72.47,86.5,Gweedore,Ireland,Ireland,5/18/2015,Euro,FALSE,2334,Syma,DJI Inspire 2
141,60.6,91.82,94.43,65.1,Ratoath,Ireland,Ireland,01-12-2016,Euro,TRUE,5981,Hubsan,Parrot Bebop 2
142,349.37,88.43,45.65,48.01,Charlesland,Ireland,Ireland,02-05-2021,Euro,FALSE,8376,3DR,DJI Inspire 2
143,50.85,54.95,78.88,80.78,Ardee,Ireland,Ireland,07-02-2018,Euro,TRUE,6566,Parrot,DJI Mavic Pro
144,143.6,68.34,19.77,7.16,Balally,Ireland,Ireland,02-06-2015,Euro,FALSE,3789,UDI,Parrot Bebop 2
145,223.77,80.47,13.28,35.87,Cork,Ireland,Ireland,11/14/2012,Euro,TRUE,8641,Autel Robotics,Yuneec Typhoon H Pro
146,424.4,82,47.89,67.22,Rathnew,Ireland,Ireland,11/24/2016,Euro,TRUE,9771,Hubsan,Parrot Bebop 2
147,265.72,41.82,71.79,83.57,Enniskerry,Ireland,Ireland,11-08-2014,Euro,TRUE,2892,Syma,DJI Mavic Pro
148,267.54,99.96,34.58,62.55,Tuam,Ireland,Ireland,7/26/2022,Euro,TRUE,4235,DJI,Yuneec Typhoon H Pro
149,284.45,3.71,57.17,13.57,Navan,Ireland,Ireland,7/18/2016,Euro,FALSE,6863,Autel Robotics,DJI Phantom 4
150,347.09,71.6,82.87,62.79,Belmullet,Ireland,Ireland,10/26/2014,Euro,FALSE,8316,Autel Robotics,Parrot Bebop 2
151,438,27.25,21.77,9.28,Ballylinan,Ireland,Ireland,10-10-2018,Euro,TRUE,8589,Autel Robotics,Yuneec Typhoon H Pro
152,494.39,85.99,8.84,83.51,Crossmolina,Ireland,Ireland,12-04-2018,Euro,TRUE,9307,Potensic,DJI Phantom 4
153,303.43,12.14,48.32,40.68,Drumcondra,Ireland,Ireland,12-11-2017,Euro,TRUE,1928,JJRC,DJI Mavic Pro
154,438.84,39.21,29.9,15.86,Longford,Ireland,Ireland,1/30/2015,Euro,TRUE,1496,Yuneec,Yuneec Typhoon H Pro
155,255.84,44.63,22.89,20.17,Bayside,Ireland,Ireland,04-04-2020,Euro,TRUE,5727,Potensic,DJI Inspire 2
156,23.65,77.04,93.8,61.76,Trá Mhór,Ireland,Ireland,07-04-2020,Euro,TRUE,3716,JJRC,DJI Mavic Pro
157,121.94,14,50.11,25.2,Glasnevin,Ireland,Ireland,9/14/2022,Euro,FALSE,1259,Potensic,DJI Phantom 4
158,220.99,18.74,99.18,87,Rathdrum,Ireland,Ireland,9/14/2014,Euro,TRUE,9164,Hubsan,DJI Mavic Pro
159,100.35,43.65,42.08,65.92,Newmarket on Fergus,Ireland,Ireland,09-07-2016,Euro,TRUE,4353,Potensic,DJI Inspire 2
160,461.19,72.86,65.18,91.85,Booterstown,Ireland,Ireland,09-09-2018,Euro,TRUE,1400,Holy Stone,Parrot Bebop 2
161,262.59,20.18,52.08,78.65,Edgeworthstown,Ireland,Ireland,8/14/2017,Euro,FALSE,131,Autel Robotics,DJI Mavic Pro
162,497.81,98.37,93.1,6.84,Gorey,Ireland,Ireland,9/22/2021,Euro,FALSE,1840,Parrot,DJI Phantom 4
163,35,71.06,53.21,53.98,Eadestown,Ireland,Ireland,12/23/2017,Euro,FALSE,2487,Syma,Parrot Bebop 2
164,495.28,59.28,90.05,26.73,Blessington,Ireland,Ireland,4/20/2019,Euro,TRUE,7959,Autel Robotics,Parrot Bebop 2
165,235.38,44.47,65.68,3.12,Farranacoush,Ireland,Ireland,1/27/2015,Euro,TRUE,4825,Parrot,DJI Phantom 4
166,52.27,57.95,78,33.45,Raheny,Ireland,Ireland,1/23/2015,Euro,FALSE,8998,JJRC,DJI Inspire 2
167,352.51,96.46,41.92,27.55,Ballina,Ireland,Ireland,10/16/2021,Euro,TRUE,9880,JJRC,Parrot Bebop 2
168,113.33,1.84,9.03,45.5,Cloyne,Ireland,Ireland,8/31/2020,Euro,TRUE,3249,Potensic,DJI Inspire 2
169,464.73,16.65,51.89,75.81,Dungloe,Ireland,Ireland,04-06-2015,Euro,FALSE,4573,UDI,DJI Inspire 2
170,137.58,32.31,35.42,59.68,Edgeworthstown,Ireland,Ireland,1/15/2017,Euro,TRUE,3721,Syma,Yuneec Typhoon H Pro
171,404.38,75.43,44.02,65.4,Monkstown,Ireland,Ireland,6/18/2017,Euro,FALSE,573,DJI,Parrot Bebop 2
172,368.11,72.39,5.78,70.9,Ballyboden,Ireland,Ireland,12-10-2012,Euro,TRUE,5928,Syma,DJI Inspire 2
173,81.45,96.71,79.4,55.52,Clonskeagh,Ireland,Ireland,07-07-2013,Euro,FALSE,6259,Parrot,DJI Mavic Pro
174,212.85,80.77,65.32,16.78,Leixlip,Ireland,Ireland,06-01-2022,Euro,TRUE,594,3DR,DJI Inspire 2
175,394.8,80.08,43.31,27.49,Ballyhaunis,Ireland,Ireland,6/26/2020,Euro,TRUE,1840,UDI,DJI Phantom 4
176,330.07,84.87,48.61,95.13,Ballymun,Ireland,Ireland,10/27/2017,Euro,FALSE,2731,Autel Robotics,DJI Inspire 2
177,347.43,90.38,38.36,76.4,Clifden,Ireland,Ireland,03-10-2018,Euro,TRUE,2888,Hubsan,DJI Inspire 2
178,77.9,72.23,32.77,78.88,Trá Mhór,Ireland,Ireland,12/20/2018,Euro,TRUE,6453,Syma,DJI Inspire 2
179,331.49,2.53,59.91,4.45,Rathangan,Ireland,Ireland,02-02-2019,Euro,TRUE,872,3DR,DJI Inspire 2
180,311.6,14.88,55.95,99.53,Greystones,Ireland,Ireland,03-06-2017,Euro,FALSE,1503,3DR,Yuneec Typhoon H Pro
181,23.88,25.46,88.32,11.09,Blessington,Ireland,Ireland,12/13/2019,Euro,FALSE,9141,Hubsan,Yuneec Typhoon H Pro
182,66.13,95.16,59.06,37.35,Cavan,Ireland,Ireland,07-11-2021,Euro,FALSE,5229,Parrot,DJI Phantom 4
183,250.29,93.71,44.92,8.7,Kildare,Ireland,Ireland,07-08-2013,Euro,FALSE,4935,Syma,Yuneec Typhoon H Pro
184,111.82,78.97,93.98,72.3,Dunleer,Ireland,Ireland,01-09-2014,Euro,FALSE,9641,UDI,DJI Phantom 4
185,228.44,28.12,85.86,17.34,Moycullen,Ireland,Ireland,8/24/2013,Euro,TRUE,2517,Potensic,Yuneec Typhoon H Pro
186,167.23,99.87,84.51,73.01,Caherconlish,Ireland,Ireland,4/30/2015,Euro,FALSE,3129,Yuneec,Yuneec Typhoon H Pro
187,306.06,70.55,79.27,62.12,Portumna,Ireland,Ireland,08-06-2012,Euro,FALSE,7366,Parrot,DJI Phantom 4
188,217.54,75.56,52.13,74.05,Dundrum,Ireland,Ireland,5/25/2017,Euro,TRUE,6600,Parrot,DJI Mavic Pro
189,312.06,62.14,2.7,13,Donegal,Ireland,Ireland,11-05-2020,Euro,TRUE,5210,UDI,Parrot Bebop 2
190,63.06,39.39,66.02,57.38,Monaghan,Ireland,Ireland,2/20/2021,Euro,TRUE,3967,Syma,Parrot Bebop 2
191,33.92,69.4,51.66,61.12,Macroom,Ireland,Ireland,6/13/2014,Euro,FALSE,3747,Yuneec,Yuneec Typhoon H Pro
192,137.51,66.75,75.7,47.83,Ashbourne,Ireland,Ireland,11-10-2020,Euro,TRUE,8573,Potensic,DJI Phantom 4
193,396.47,95.92,91.11,39.65,Skibbereen,Ireland,Ireland,10-05-2020,Euro,TRUE,9191,DJI,DJI Mavic Pro
194,494.93,85.36,67.7,91.57,Macroom,Ireland,Ireland,03-04-2015,Euro,TRUE,4107,DJI,DJI Mavic Pro
195,283.6,47.12,11.23,13.25,Claremorris,Ireland,Ireland,5/15/2012,Euro,FALSE,2804,JJRC,Parrot Bebop 2
196,251.72,50.06,59.16,59.91,Naas,Ireland,Ireland,01-03-2014,Euro,TRUE,5427,Potensic,DJI Phantom 4
197,16.53,44.93,98.23,47.11,Enniskerry,Ireland,Ireland,06-11-2015,Euro,TRUE,1343,UDI,Yuneec Typhoon H Pro
198,144.12,64.95,81.04,54.51,Glasnevin,Ireland,Ireland,11/24/2022,Euro,FALSE,5336,UDI,DJI Phantom 4
199,214.94,38.11,38.79,42.35,Kinsealy-Drinan,Ireland,Ireland,3/17/2017,Euro,TRUE,4067,3DR,DJI Mavic Pro
